author_id,name,count
579,addons,1
579,build,1
579,C++,1
579,cluster,3
579,doc,3
579,dont-land-on-v4.x,3
579,dont-land-on-v6.x,1
579,http,5
579,land-on-v4.x,2
579,meta,5
579,module,1
579,n-api,1
579,semver-major,8
579,semver-minor,1
579,stalled,5
1377,semver-major,4
1377,util,4
1490,dont-land-on-v4.x,3
1490,land-on-v6.x,3
1490,timers,3
2195,http,2
2289,author ready,3
2289,doc,4
2289,dont-land-on-v4.x,1
2289,fs,1
2289,land-on-v6.x,1
2289,meta,2
2289,url,3
2876,dns,1
2876,doc,1
2876,land-on-v4.x,1
4303,author ready,13
4303,backport-requested-v6.x,4
4303,backport-requested-v9.x,3
4303,backported-to-v8.x,19
4303,backported-to-v9.x,18
4303,blocked,14
4303,buffer,3
4303,build,2
4303,C++,20
4303,cli,3
4303,console,2
4303,doc,4
4303,dont-land-on-v4.x,40
4303,dont-land-on-v6.x,44
4303,dont-land-on-v8.x,7
4303,errors,2
4303,ES Modules,105
4303,experimental,3
4303,fs,1
4303,in progress,6
4303,land-on-v6.x,3
4303,land-on-v8.x,6
4303,lib / src,62
4303,module,59
4303,modules-agenda,3
4303,notable-change,33
4303,process,10
4303,repl,8
4303,semver-major,8
4303,semver-minor,47
4303,stalled,5
4303,timers,1
4303,tools,1
4303,tsc-review,2
4303,util,8
4303,V8 Engine,1
4303,vm,11
4338,backported-to-v6.x,3
4338,C++,3
4338,crypto,3
4338,security,3
4458,C++,1
4458,windows,1
4815,author ready,1
4815,build,1
4815,doc,4
4815,http,4
4815,https,4
4815,in progress,1
4815,semver-minor,4
4815,tools,4
5688,child_process,5
5688,cluster,4
5688,doc,9
5688,dont-land-on-v4.x,2
5688,land-on-v4.x,2
5688,lts-watch-v4.x,1
5688,stalled,1
5750,dont-land-on-v4.x,1
5750,dont-land-on-v6.x,1
5750,ES Modules,13
5750,lib / src,1
5750,repl,12
6534,doc,2
9287,cluster,5
9287,performance,1
9287,semver-major,6
10602,doc,6
10602,dont-land-on-v4.x,2
10602,dont-land-on-v6.x,8
10602,dont-land-on-v8.x,6
10602,module,6
10602,net,2
10974,module,3
10974,windows,3
13315,buffer,1
13315,crypto,3
13315,land-on-v4.x,1
13315,net,1
13315,stalled,1
13315,util,1
15843,doc,1
15843,land-on-v4.x,1
15843,net,5
15843,semver-major,4
15952,async_wrap,1
15952,backported-to-v6.x,6
15952,benchmark,1
15952,build,4
15952,code-and-learn,1
15952,debugger,2
15952,doc,27
15952,dont-land-on-v4.x,24
15952,dont-land-on-v6.x,18
15952,dont-land-on-v8.x,4
15952,embedding,2
15952,fs,3
15952,http,15
15952,in progress,2
15952,install,2
15952,land-on-v4.x,6
15952,land-on-v6.x,2
15952,land-on-v8.x,5
15952,lts-watch-v6.x,16
15952,macos,2
15952,meta,2
15952,process,2
15952,repl,60
15952,semver-major,27
15952,semver-minor,12
15952,stalled,11
15952,test,6
15952,tools,2
15952,util,2
15952,v4.x,2
15952,v8.x,1
17535,doc,6
17535,land-on-v4.x,1
17535,land-on-v6.x,5
17535,land-on-v8.x,5
17535,lib / src,4
17535,meta,1
17535,npm,2
17535,process,4
17535,semver-minor,4
17607,addons,1
17607,aix,1
17607,assert,4
17607,async_hooks,32
17607,async_wrap,1
17607,author ready,3
17607,backport-requested-v6.x,59
17607,backported-to-v6.x,51
17607,backported-to-v8.x,3
17607,baking-for-lts,4
17607,benchmark,4
17607,buffer,24
17607,build,51
17607,C++,253
17607,child_process,120
17607,cli,8
17607,cluster,63
17607,code-and-learn,8
17607,confirmed-bug,7
17607,console,10
17607,crypto,92
17607,debugger,7
17607,dgram,12
17607,diag-agenda,8
17607,discuss,2
17607,dns,7
17607,doc,497
17607,domain,3
17607,dont-land-on-v4.x,272
17607,dont-land-on-v6.x,200
17607,errors,11
17607,fs,17
17607,help wanted,4
17607,http,54
17607,http_parser,1
17607,http2,2
17607,in progress,32
17607,inspector,58
17607,intl,8
17607,land-on-v4.x,59
17607,land-on-v6.x,184
17607,land-on-v8.x,2
17607,lib / src,42
17607,lts-agenda,16
17607,lts-watch-v4.x,39
17607,lts-watch-v6.x,62
17607,meta,28
17607,module,30
17607,net,103
17607,notable-change,8
17607,openssl,22
17607,os,12
17607,path,7
17607,performance,6
17607,process,68
17607,security,17
17607,semver-major,90
17607,semver-minor,167
17607,stalled,140
17607,stream,16
17607,test,76
17607,timers,10
17607,tls,97
17607,tools,11
17607,url,8
17607,url-whatwg,15
17607,util,6
17607,v4.x,7
17607,v6.x,2
17607,V8 Engine,12
17607,vm,3
17607,windows,3
17607,zlib,4
17879,assert,1
17978,buffer,1
17978,build,3
17978,child_process,1
17978,cli,1
17978,code-and-learn,14
17978,discuss,1
17978,doc,2
17978,dont-land-on-v4.x,2
17978,dont-land-on-v6.x,6
17978,fs,1
17978,http2,1
17978,https,4
17978,inspector,1
17978,land-on-v4.x,5
17978,land-on-v6.x,13
17978,land-on-v8.x,1
17978,net,7
17978,readline,3
17978,semver-major,1
17978,semver-minor,3
17978,test,20
17978,timers,1
17978,tls,5
17978,tools,3
17978,util,1
17978,V8 Engine,1
17978,zlib,3
18332,cluster,1
18332,semver-major,1
19247,fs,3
19714,in progress,1
19714,lib / src,1
19714,module,1
19714,stalled,1
20809,addons,1
20809,assert,18
20809,async_hooks,23
20809,async_wrap,4
20809,author ready,197
20809,backport-requested-v6.x,19
20809,backport-requested-v8.x,40
20809,backport-requested-v9.x,48
20809,backported-to-v6.x,20
20809,backported-to-v8.x,13
20809,backported-to-v9.x,45
20809,baking-for-lts,24
20809,benchmark,29
20809,blocked,12
20809,buffer,18
20809,build,6
20809,C++,149
20809,cares,7
20809,child_process,3
20809,cluster,1
20809,code-and-learn,9
20809,console,11
20809,crypto,20
20809,dgram,9
20809,dns,1
20809,doc,41
20809,domain,39
20809,dont-land-on-v10.x,1
20809,dont-land-on-v4.x,166
20809,dont-land-on-v6.x,336
20809,dont-land-on-v8.x,106
20809,dont-land-on-v9.x,28
20809,ecosystem-lookup-requested,23
20809,errors,17
20809,ES Modules,3
20809,events,57
